TableInfos;;;;;;;;;;;;;;;;;;;;
ID;Title;ShortTitle;Identifier;Summary;Modified;ReasonDelivery;ExplanatoryText;Language;Catalog;Frequency;Period;ShortDescription;Description;DefaultPresentation;DefaultSelection;GraphTypes;OutputStatus;Source;MetaDataModified;SearchPriority
0;"Geregistreerde misdrijven en aangiften; soort misdrijf, gemeente 2025";Misdrijven en aangiften per gemeente;47013NED;"Geregistreerde misdrijven, aangiften en internetaangiften
per type misdrijf, gemeente, regionale eenheid, provincie en landsdeel";2025-12-15T02:00:00;ActualiseringBijzonder;;nl;Politie;Permaand;2012-2025;"
Deze tabel bevat cijfers over het aantal geregistreerde misdrijven per maand en per jaar. Deze worden uitgesplitst naar het soort misdrijf en per gemeente. Bij de geregistreerde misdrijven zijn ook de pogingen opgenomen. Voor sommige misdrijven (bijvoorbeeld moord/doodslag) levert dat een veel hoger aantal op dan enkel het aantal voltooide misdrijven. De gegevens per gemeente worden voor alle jaren gepresenteerd volgens de gemeentelijke indeling van 1 januari 2025.

Sinds juli 2018 is het niet meer mogelijk om meerdere delicten, die verband met elkaar houden (samenloop), in één registratie vast te leggen. Een voorbeeld hiervan is een straatroof waarbij een vuurwapen (wapenbezit) wordt gebruikt. Indien in één registratie meerdere delicten voorkomen, werd vóór juli 2018 alleen het zwaarste delict geteld. 
Als gevolg van deze aanpassing is bij een aantal delicten een toename zichtbaar ten opzichte van 2018. Het gaat voornamelijk om huisvredebreuk, bijzondere wetten waaronder witwassen, wapenhandel  waaronder wapenbezit, drugshandel, aantasting openbare orde en maatschappelijke integriteit overig  waaronder belediging. Hierbij was de toename dan ook vooral zichtbaar in de laatste 6 maanden van 2018. Op het totaal aantal misdrijven heeft deze aanpassing maar een beperkt effect. Voor heel 2018 veroorzaakt dit een stijging van circa 1,0%.
Sinds 30 april 2020 is het mogelijk om via Internet aangifte te doen van WhatsAppfraude (wordt ook wel vriend-in-nood fraude genoemd). Hiervan werd direct veelvuldig gebruik gemaakt. In de maanden mei tm december 2020 werden circa 20.000 aangiften van WhatsAppfraude gedaan. 

Het aantal van geregistreerde misdrijven vuurwerk 2024 is niet definitief. Bij dit delict zullen in het eerste half jaar 2025  nog veel incidenten met terugwerkende kracht als misdrijf worden aangemerkt en in de telling worden opgenomen.   

Aangiften betreffen geregistreerde misdrijven waarvoor een ´proces verbaal van aangifte´ is opgesteld. Per misdrijf kunnen meerdere aangiften gedaan zijn.
Internetaangifte kan alleen voor een geselecteerd aantal delicten gedaan worden en enkel als er geen opsporingsindicatie is.


Gegevens beschikbaar vanaf: 2012

Status van de cijfers:
De cijfers in deze tabel worden geregeld geactualiseerd. Hierdoor kunnen er kleine verschillen met eerdere publicaties ontstaan. Actualisatie van de cijfers is nodig om bijvoorbeeld met terugwerkende kracht de herindeling van gemeenten of aanpassing codering met terugwerkende kracht te kunnen verwerken. Cijfers over aangiften en internetaangiften worden na elk kwartaal geactualiseerd.

Wijzigingen per 15 december 2025:
Cijfers over november 2025 zijn toegevoegd.

Wanneer komen er nieuwe cijfers?
15 januari worden de cijfers over december en totaal 2025 toegevoegd.

";"INHOUDSOPGAVE

1. Toelichting
2. Definities en verklaring van symbolen
3. Koppelingen naar relevante tabellen en artikelen
4. Bronnen en methoden
5. Meer informatie 
 
 
1. TOELICHTING

Deze tabel bevat cijfers over het aantal geregistreerde misdrijven per maand en per jaar. Deze worden uitgesplitst naar het soort misdrijf en per gemeente. Bij de geregistreerde misdrijven zijn ook de pogingen opgenomen. Voor sommige misdrijven (bijvoorbeeld moord/doodslag) levert dat een veel hoger aantal op dan enkel het aantal voltooide misdrijven. De gegevens per gemeente worden voor alle jaren gepresenteerd volgens de gemeentelijke indeling van 1 januari 2025.

Sinds juli 2018 is het niet meer mogelijk om meerdere delicten, die verband met elkaar houden (samenloop), in één registratie vast te leggen. Een voorbeeld hiervan is een straatroof waarbij een vuurwapen (wapenbezit) wordt gebruikt. Indien in één registratie meerdere delicten voorkomen, werd vóór juli 2018 alleen het zwaarste delict geteld. 
Als gevolg van deze aanpassing is bij een aantal delicten een toename zichtbaar ten opzichte van 2018. Het gaat voornamelijk om huisvredebreuk, bijzondere wetten waaronder witwassen, wapenhandel  waaronder wapenbezit, drugshandel, aantasting openbare orde en maatschappelijke integriteit overig  waaronder belediging. Hierbij was de toename dan ook vooral zichtbaar in de laatste 6 maanden van 2018. Op het totaal aantal misdrijven heeft deze aanpassing maar een beperkt effect. Voor heel 2018 veroorzaakt dit een stijging van circa 1,0%.
Sinds 30 april 2020 is het mogelijk om via Internet aangifte te doen van WhatsAppfraude (wordt ook wel vriend-in-nood fraude genoemd). Hiervan werd direct veelvuldig gebruik gemaakt. In de maanden mei tm december 2020 werden circa 20.000 aangiften van WhatsAppfraude gedaan. 

Het aantal van geregistreerde misdrijven vuurwerk 2024 is niet definitief. Bij dit delict zullen in het eerste half jaar 2025  nog veel incidenten met terugwerkende kracht als misdrijf worden aangemerkt en in de telling worden opgenomen.   

Aangiften betreffen geregistreerde misdrijven waarvoor een ´proces verbaal van aangifte´ is opgesteld. Per misdrijf kunnen meerdere aangiften gedaan zijn.
Internetaangifte kan alleen voor een geselecteerd aantal delicten gedaan worden en enkel als er geen opsporingsindicatie is.


Gegevens beschikbaar vanaf: 2012

Status van de cijfers:
De cijfers in deze tabel worden geregeld geactualiseerd. Hierdoor kunnen er kleine verschillen met eerdere publicaties ontstaan. Actualisatie van de cijfers is nodig om bijvoorbeeld met terugwerkende kracht de herindeling van gemeenten of aanpassing codering met terugwerkende kracht te kunnen verwerken. Cijfers over aangiften en internetaangiften worden na elk kwartaal geactualiseerd.

Wijzigingen per 15 december 2025:
Cijfers over november 2025 zijn toegevoegd.

Wanneer komen er nieuwe cijfers?
15 januari worden de cijfers over december en totaal 2025 toegevoegd.


2. DEFINITIES EN VERKLARING VAN SYMBOLEN
 
Definities:
 
Politie 
Sinds 2013 heeft Nederland een landelijk georganiseerde politieorganisatie. De politie bestaat uit tien regionale eenheden, de Landelijke Eenheid en het Politiedienstencentrum waarin alle ondersteunende afdelingen zijn ondergebracht. De Korpschef is belast met de leiding van de politie. De Korpschef legt over de uitoefening van zijn taken en bevoegdheden verantwoording af aan de minister van Veiligheid en Justitie, conform artikel 27 van de Politiewet 2012. 
 
Misdrijven
Een geregistreerd misdrijf is een misdrijf, door de politie vastgelegd in een proces-verbaal van aangifte of in een ambtshalve opgemaakt proces-verbaal. Misdrijven zijn de feiten, strafbaar gesteld in het Wetboek van Strafrecht en in tal van bijzondere wetten, waaronder de Opiumwet, de Wegenverkeerswet en de Wet Wapens en munitie.

Aangiften
Aangiften betreffen geregistreerde misdrijven waarvoor een proces verbaal van aangiften is opgesteld.

Internetaangiften
Aangifte doen via internet kan alleen voor een geselecteerd aantal delicten gedaan worden en enkel als er geen opsporingsindicatie is.

Van zedenmisdrijven, kinderporno, kinderprostitutie en maatschappelijke integriteit overig worden enkel jaarcijfers gepubliceerd. De maandcijfers van de afzonderlijke misdrijven tellen daarom niet op tot het maandtotaal. 

Verklaring van symbolen:
 
niets (blanco) 	: het cijfer kan op logische gronden niet voorkomen
. 		: het cijfer is onbekend, onvoldoende betrouwbaar of geheim
* 		: voorlopige cijfers
** 		: nader voorlopige cijfers
 

3. KOPPELINGEN NAAR RELEVANTE TABELLEN EN ARTIKELEN

Meer informatie m.b.t. misdrijven is de vinden via deze <a href='https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html'>link</a>.
 

4. BRONNEN EN METHODEN
 
De bron van de publicatie is BVI (Basis Voorziening Informatie), de managementinformatie tool van de politie. Als misdrijf wordt een registratie geteld waar een aangifte en/of slachtoffer en/of verdachte aan gekoppeld is.

De telwijze is gelijk aan de wijze waarop de politie in jaarverslagen en andere publicaties cijfers presenteert. Door andere peilmomenten kunnen de cijfers afwijken van eerdere publicaties.  
Het aantal geregistreerde misdrijven is niet gelijk aan de cijfers die door het CBS wordt gepubliceerd. Redenen zijn een andere filtering, indeling van delictscategorieën en het meetellen van misdrijven vastgelegd door de Koninklijke Marechaussee.

 
5. MEER INFORMATIE
 
Copyright (c) Politie
De cijfers zijn vastgesteld door Politie en worden beschikbaar gesteld via data.politie.nl waarbij gebruik wordt gemaakt van CBS statline voor derden.";ts=1764853734957&graphtype=Table&r=RegioS&k=Topics,Perioden&t=SoortMisdrijf&_gu=NL;$filter=((SoortMisdrijf eq '0.0.0 ')) and ((Perioden eq '2024MM11') or (Perioden eq '2024MM12') or (Perioden eq '2025MM01') or (Perioden eq '2025MM02') or (Perioden eq '2025MM03') or (Perioden eq '2025MM04') or (Perioden eq '2025MM05') or (Perioden eq '2025MM06') or (Perioden eq '2025MM07') or (Perioden eq '2025MM08') or (Perioden eq '2025MM09') or (Perioden eq '2025MM10') or (Perioden eq '2025MM11')) and ((RegioS eq 'NL01  ') or (substringof('GM',RegioS)) or (substringof('RE',RegioS)))&$select=SoortMisdrijf, Perioden, RegioS, GeregistreerdeMisdrijven_1;Table,Bar,Map;Regulier;"&copy; Politie";2025-12-15T02:00:00;2
DataProperties;;;;;;;;;;;;;;;;;;;;
ID;Position;ParentID;Type;Key;Title;Description;ReleasePolicy;Datatype;Unit;Decimals;Default;;;;;;;;;
0;0;;Dimension;SoortMisdrijf;Soort misdrijf;;;;;;;;;;;;;;;
1;1;;GeoDimension;RegioS;Regio's;;;;;;;;;;;;;;;
2;2;;TimeDimension;Perioden;Perioden;;TRUE;;;;;;;;;;;;;
3;3;;Topic;GeregistreerdeMisdrijven_1;Geregistreerde misdrijven;Totaal van de geregistreerde misdrijven, bron is de politieregistratie Basis Voorziening Informatie (BVI). Zie ook 4. Bronnen en methoden. Een geregistreerd misdrijf is een misdrijf, door de politie vastgelegd in een proces-verbaal van aangifte of in een ambtshalve opgemaakt proces-verbaal. Misdrijven zijn de feiten, strafbaar gesteld in het Wetboek van Strafrecht en in tal van bijzondere wetten, waaronder de Opiumwet, de Wegenverkeerswet en de Wet Wapens en munitie.;;Long;aantal;0;Missing;;;;;;;;;
4;4;;Topic;Aangiften_2;Aangiften;"Aangiften betreffen geregistreerde misdrijven waarvoor een proces verbaal van aangiften is opgesteld.
";;Long;aantal;0;Missing;;;;;;;;;
5;5;;Topic;Internetaangiften_3;Internetaangiften;Aangiften betreffen geregistreerde misdrijven waarvoor een proces verbaal van aangiften is opgesteld. Aangifte doen via internet kan alleen voor een geselecteerd aantal delicten gedaan worden en enkel als er geen opsporingsindicatie is.;;Long;aantal;0;Missing;;;;;;;;;
SoortMisdrijf;;;;;;;;;;;;;;;;;;;;
Key;Title;Description;;;;;;;;;;;;;;;;;;
0.0.0 ;Totaal misdrijven;;;;;;;;;;;;;;;;;;;
1.1.1 ;1.1.1 Diefstal/inbraak woning;"A20 Gekwal. Diefstal in/uit woning
A30 Diefstal in/uit woning (niet gekwal.)
B20 Gekwal. Diefstal met geweld in/uit woning
B30 Diefstal met geweld in/uit woning (niet gekwal.)
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)
";;;;;;;;;;;;;;;;;;
1.1.2 ;1.1.2 Diefstal/inbraak box/garage/schuur;"A21 Gekwal. Diefstal in/uit box/garage/schuur
A34 Diefstal in/uit box/garage/schuur/erf (niet gekwal.)
B21 Gekwal. Diefstal met geweld in/uit box/garage/schuur
B34 Diefstal met geweld in/uit box/garage/schuur (niet gekwal.)
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)
";;;;;;;;;;;;;;;;;;
1.2.1 ;1.2.1 Diefstal uit/vanaf motorvoertuigen;"A10 Diefstal uit/vanaf personenauto
B10 Diefstal met geweld uit/vanaf personenauto
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
1.2.2 ;1.2.2 Diefstal van motorvoertuigen;"A70 Diefstal personenauto
A71 Diefstal motor
A76 Diefstal vrachtauto/bestelauto
B60 Diefstal van personenauto met geweld
B61 Diefstal met geweld motor
B66 Diefstal met geweld vrachtauto/bestelauto
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)
";;;;;;;;;;;;;;;;;;
1.2.3 ;1.2.3 Diefstal van brom-, snor-, fietsen;"A72 Diefstal fiets
A73 Diefstal bromfiets/snorfiets
B62 Diefstal met geweld fiets
B63 Diefstal met geweld bromfiets/snorfiets
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)
";;;;;;;;;;;;;;;;;;
1.2.4 ;1.2.4 Zakkenrollerij;"A40 Zakkenrollerij/tassenrollerij
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)
";;;;;;;;;;;;;;;;;;
1.2.5 ;1.2.5 Diefstal af/uit/van ov. voertuigen;"A12 Diefstal uit/vanaf andere vervoermiddelen
A74 Diefstal ander vervoermiddel
B12 Diefstal met geweld uit/vanaf ander vervoermiddel
B64 Diefstal met geweld ander vervoermiddel
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)
";;;;;;;;;;;;;;;;;;
1.3.1 ;1.3.1 Ongevallen (weg);"D11 Verkeersongeval met letsel
D12 Verkeersongeval met dodelijke afloop
D13 Verlaten plaats na verkeersongeval
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
1.4.1 ;1.4.1 Zedendelicten;"F520 Openbare schennis der eerbaarheid
F521 Verkrachting
F522 Aanranding
F523 Overige zedenmisdrijven
F525 Pornografie
F526 Incest/afhankelijkheid/wilsonbekwame
F527 Seksueel misbruik kinderen (geen incest)
F5295 Sexting
F5296 Grooming
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
1.4.2 ;1.4.2 Moord, doodslag;"F540 Doodslag/moord
F541 Euthanasie
F542 Overige misdrijven tegen het leven
F543 Illegale abortus
F544 Behulpzaam bij zelfmoord
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
1.4.3 ;1.4.3 Openlijk geweld (persoon);"F12 Openlijke geweldpleging tegen personen
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
1.4.4 ;1.4.4 Bedreiging;"F530 Bedreiging
F531 Overige misdrijven tegen de persoonlijke vrijheid
F532 Gijzeling/ontvoering
F533 Stalking
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)
";;;;;;;;;;;;;;;;;;
1.4.5 ;1.4.5 Mishandeling;"F550 Eenvoudige mishandeling
F551 Zware mishandeling
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)
";;;;;;;;;;;;;;;;;;
1.4.6 ;1.4.6 Straatroof;"B70 Straatroof
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
1.4.7 ;1.4.7 Overval;"B72 Overval in woning
B73 Overval op overige objecten
B74 Overval op geld- en waardetransport
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
1.5.2 ;1.5.2 Diefstallen (water);"A11 Diefstal uit/vanaf vaartuig
A75 Diefstal vaartuig
B11 Diefstal met geweld uit/vanaf vaartuig
B65 Diefstal met geweld vaartuig
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
1.6.1 ;1.6.1 Brand/ontploffing;"F13 Brandstichting
F14 Bomaanslag
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
1.6.2 ;1.6.2 Overige vermogensdelicten;"A27 Gekwal. Diefstal in/uit andere gebouwen
A36 Diefstal in/uit andere gebouwen (niet gekwal.)
A60 Diefstal van een dier
A80 Verduistering (evt. In dienstbetrekking)
A81 Heling
A82 Chantage / afpersing
A90 Overige (eenvoudige) diefstal
A95 Overige gekwal. Diefstal
B27 Gekwal. Diefstal met geweld in/uit andere gebouwen
B36 Diefstal met geweld in/uit andere gebouwen (niet gekwal.)
B95 Overige diefstallen met geweld
(uitgebreide beschrijving op https://www.politie.nl/algemeen/dataportaal/dataportaal-definities.html)";;;;;;;;;;;;;;;;;;
