TableInfos;;;;;;;;;;;;;;;;;;;;
GM0093;Terschelling;"Provinciale wijziging per 01-09-1942
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0448;Texel;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1525;Teylingen;Ontstaan per 01-01-2006;;;;;;;;;;;;;;;;;;
GM0716;Tholen;"Gemeentelijke herindeling per 01-01-1995
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0281;Tiel;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0855;Tilburg;"Gemeentelijke herindeling per 01-01-2021
Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0183;Tubbergen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1700;Twenterand;Naamswijziging per 01-06-2002;;;;;;;;;;;;;;;;;;
GM1730;Tynaarlo;Naamswijziging per 01-12-1999;;;;;;;;;;;;;;;;;;
GM0737;Tytsjerksteradiel;Naamswijziging per 01-01-1989;;;;;;;;;;;;;;;;;;
GM0450;Uitgeest;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0451;Uithoorn;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0184;Urk;"Provinciale wijziging per 01-01-1986
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0344;Utrecht (gemeente);"Gemeentelijke herindeling per 01-01-2001
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1581;Utrechtse Heuvelrug;Ontstaan per 01-01-2006;;;;;;;;;;;;;;;;;;
GM0981;Vaals;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM0994;Valkenburg aan de Geul;Ontstaan per 01-01-1982;;;;;;;;;;;;;;;;;;
GM0858;Valkenswaard;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0047;Veendam;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0345;Veenendaal;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0717;Veere;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0861;Veldhoven;Naamswijziging per 01-05-1921;;;;;;;;;;;;;;;;;;
GM0453;Velsen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0983;Venlo;"Gemeentelijke herindeling per 01-01-2010
Gemeentelijke herindeling per 01-01-2001
Begindatum 02-01-1839";;;;;;;;;;;;;;;;;;
GM0984;Venray;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM1961;Vijfheerenlanden;"Provinciale wijziging per 01-01-2019
Ontstaan per 01-01-2019";;;;;;;;;;;;;;;;;;
GM0622;Vlaardingen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0096;Vlieland;"Provinciale wijziging per 01-09-1942
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0718;Vlissingen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0986;Voerendaal;Begindatum 02-01-1839;;;;;;;;;;;;;;;;;;
GM1992;Voorne aan Zee;Ontstaan per 01-01-2023;;;;;;;;;;;;;;;;;;
GM0626;Voorschoten;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0285;Voorst;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0865;Vught;"Gemeentelijke herindeling per 01-01-2021
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1949;Waadhoeke;Ontstaan per 01-01-2018;;;;;;;;;;;;;;;;;;
GM0866;Waalre;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0867;Waalwijk;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0627;Waddinxveen;Begindatum 01-07-1870;;;;;;;;;;;;;;;;;;
GM0289;Wageningen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0629;Wassenaar;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0852;Waterland;Ontstaan per 01-01-1991;;;;;;;;;;;;;;;;;;
GM0988;Weert;"Gemeentelijke herindeling per 01-01-1998
Begindatum 02-01-1839";;;;;;;;;;;;;;;;;;
GM1960;West Betuwe;Ontstaan per 01-01-2019;;;;;;;;;;;;;;;;;;
GM0668;West Maas en Waal;Naamswijziging per 01-07-1985;;;;;;;;;;;;;;;;;;
GM1969;Westerkwartier;Ontstaan per 01-01-2019;;;;;;;;;;;;;;;;;;
GM1701;Westerveld;Ontstaan per 01-01-1998;;;;;;;;;;;;;;;;;;
GM0293;Westervoort;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1950;Westerwolde;Ontstaan per 01-01-2018;;;;;;;;;;;;;;;;;;
GM1783;Westland;Ontstaan per 01-01-2004;;;;;;;;;;;;;;;;;;
GM0098;Weststellingwerf;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0189;Wierden;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0296;Wijchen;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1696;Wijdemeren;Ontstaan per 01-01-2002;;;;;;;;;;;;;;;;;;
GM0352;Wijk bij Duurstede;"Gemeentelijke herindeling per 01-01-1996
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0294;Winterswijk;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0873;Woensdrecht;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0632;Woerden;"Gemeentelijke herindeling per 01-01-2001
Provinciale wijziging per 01-01-1989
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1690;De Wolden;Ontstaan per 01-01-1998;;;;;;;;;;;;;;;;;;
GM0880;Wormerland;Ontstaan per 01-01-1991;;;;;;;;;;;;;;;;;;
GM0351;Woudenberg;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0479;Zaanstad;Ontstaan per 01-01-1974;;;;;;;;;;;;;;;;;;
GM0297;Zaltbommel;"Gemeentelijke herindeling per 01-01-1999
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0473;Zandvoort;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0050;Zeewolde;Ontstaan per 01-01-1984;;;;;;;;;;;;;;;;;;
GM0355;Zeist;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0299;Zevenaar;"Gemeentelijke herindeling per 01-01-2018
Gemeentelijke herindeling per 01-01-2005
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0637;Zoetermeer;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0638;Zoeterwoude;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM1892;Zuidplas;Ontstaan per 01-01-2010;;;;;;;;;;;;;;;;;;
GM0879;Zundert;"Gemeentelijke herindeling per 01-01-1997
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0301;Zutphen;"Gemeentelijke herindeling per 01-01-2005
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM1896;Zwartewaterland;Ontstaan per 01-01-2001;;;;;;;;;;;;;;;;;;
GM0642;Zwijndrecht;"Gemeentelijke herindeling per 01-01-2003
Begindatum voor 1830";;;;;;;;;;;;;;;;;;
GM0193;Zwolle;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0998;Buitenland;Begindatum voor 1830;;;;;;;;;;;;;;;;;;
GM0999;"Gemeenten; niet in te delen";Door een gebrek aan informatie of door onjuiste informatie is een toedeling aan een bepaalde gemeente niet altijd mogelijk.;;;;;;;;;;;;;;;;;;
RE01  ;Noord-Nederland (RE);"RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.";;;;;;;;;;;;;;;;;;
RE02  ;Oost-Nederland (RE);"RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.";;;;;;;;;;;;;;;;;;
RE03  ;Midden-Nederland (RE);"RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.";;;;;;;;;;;;;;;;;;
RE04  ;Noord-Holland (RE);"RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.";;;;;;;;;;;;;;;;;;
RE05  ;Amsterdam (RE);"RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.";;;;;;;;;;;;;;;;;;
RE06  ;Den Haag (RE);"RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.";;;;;;;;;;;;;;;;;;
RE07  ;Rotterdam (RE);"RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.";;;;;;;;;;;;;;;;;;
RE08  ;Zeeland - West-Brabant (RE);"RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.";;;;;;;;;;;;;;;;;;
RE09  ;Oost-Brabant (RE);"RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.";;;;;;;;;;;;;;;;;;
RE10  ;Limburg (RE);"RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.";;;;;;;;;;;;;;;;;;
RE99  ;Niet in te delen (RE);"RE = Regionale eenheid

De indeling in regionale eenheden is ingevoerd per 1 januari 2013 en berust op de Politiewet 2012. Nederland telt 10 regionale eenheden.

Niet in te delen: door een gebrek aan informatie of door onjuiste informatie is een toedeling aan een bepaalde regionale eenheid niet altijd mogelijk.";;;;;;;;;;;;;;;;;;
Perioden;;;;;;;;;;;;;;;;;;;;
Key;Title;Description;Status;;;;;;;;;;;;;;;;;
2012MM01;2012 januari;;Definitief;;;;;;;;;;;;;;;;;
2012MM02;2012 februari;;Definitief;;;;;;;;;;;;;;;;;
2012MM03;2012 maart;;Definitief;;;;;;;;;;;;;;;;;
2012MM04;2012 april;;Definitief;;;;;;;;;;;;;;;;;
2012MM05;2012 mei;;Definitief;;;;;;;;;;;;;;;;;
2012MM06;2012 juni;;Definitief;;;;;;;;;;;;;;;;;
2012MM07;2012 juli;;Definitief;;;;;;;;;;;;;;;;;
2012MM08;2012 augustus;;Definitief;;;;;;;;;;;;;;;;;
2012MM09;2012 september;;Definitief;;;;;;;;;;;;;;;;;
2012MM10;2012 oktober;;Definitief;;;;;;;;;;;;;;;;;
2012MM11;2012 november;;Definitief;;;;;;;;;;;;;;;;;
2012MM12;2012 december;;Definitief;;;;;;;;;;;;;;;;;
2012JJ00;2012;;Definitief;;;;;;;;;;;;;;;;;
2013MM01;2013 januari;;Definitief;;;;;;;;;;;;;;;;;
2013MM02;2013 februari;;Definitief;;;;;;;;;;;;;;;;;
2013MM03;2013 maart;;Definitief;;;;;;;;;;;;;;;;;
2013MM04;2013 april;;Definitief;;;;;;;;;;;;;;;;;
2013MM05;2013 mei;;Definitief;;;;;;;;;;;;;;;;;
2013MM06;2013 juni;;Definitief;;;;;;;;;;;;;;;;;
2013MM07;2013 juli;;Definitief;;;;;;;;;;;;;;;;;
2013MM08;2013 augustus;;Definitief;;;;;;;;;;;;;;;;;
2013MM09;2013 september;;Definitief;;;;;;;;;;;;;;;;;
2013MM10;2013 oktober;;Definitief;;;;;;;;;;;;;;;;;
2013MM11;2013 november;;Definitief;;;;;;;;;;;;;;;;;
2013MM12;2013 december;;Definitief;;;;;;;;;;;;;;;;;
2013JJ00;2013;;Definitief;;;;;;;;;;;;;;;;;
2014MM01;2014 januari;;Definitief;;;;;;;;;;;;;;;;;
2014MM02;2014  februari;;Definitief;;;;;;;;;;;;;;;;;
2014MM03;2014 maart;;Definitief;;;;;;;;;;;;;;;;;
2014MM04;2014 april;;Definitief;;;;;;;;;;;;;;;;;
2014MM05;2014 mei;;Definitief;;;;;;;;;;;;;;;;;
2014MM06;2014 juni;;Definitief;;;;;;;;;;;;;;;;;
2014MM07;2014 juli;;Definitief;;;;;;;;;;;;;;;;;
2014MM08;2014 augustus;;Definitief;;;;;;;;;;;;;;;;;
2014MM09;2014 september ;;Definitief;;;;;;;;;;;;;;;;;
2014MM10;2014 oktober;;Definitief;;;;;;;;;;;;;;;;;
2014MM11;2014 november;;Definitief;;;;;;;;;;;;;;;;;
2014MM12;2014 december;;Definitief;;;;;;;;;;;;;;;;;
2014JJ00;2014;;Definitief;;;;;;;;;;;;;;;;;
2015MM01;2015 januari;;Definitief;;;;;;;;;;;;;;;;;
2015MM02;2015  februari;;Definitief;;;;;;;;;;;;;;;;;
2015MM03;2015 maart;;Definitief;;;;;;;;;;;;;;;;;
2015MM04;2015 april;;Definitief;;;;;;;;;;;;;;;;;
2015MM05;2015 mei;;Definitief;;;;;;;;;;;;;;;;;
2015MM06;2015 juni;;Definitief;;;;;;;;;;;;;;;;;
2015MM07;2015 juli;;Definitief;;;;;;;;;;;;;;;;;
2015MM08;2015 augustus;;Definitief;;;;;;;;;;;;;;;;;
2015MM09;2015 september;;Definitief;;;;;;;;;;;;;;;;;
2015MM10;2015 oktober;;Definitief;;;;;;;;;;;;;;;;;
2015MM11;2015 november;;Definitief;;;;;;;;;;;;;;;;;
2015MM12;2015 december;;Definitief;;;;;;;;;;;;;;;;;
2015JJ00;2015;;Definitief;;;;;;;;;;;;;;;;;
2016MM01;2016 januari;;Definitief;;;;;;;;;;;;;;;;;
2016MM02;2016  februari;;Definitief;;;;;;;;;;;;;;;;;
2016MM03;2016 maart;;Definitief;;;;;;;;;;;;;;;;;
2016MM04;2016 april;;Definitief;;;;;;;;;;;;;;;;;
2016MM05;2016 mei;;Definitief;;;;;;;;;;;;;;;;;
2016MM06;2016 juni;;Definitief;;;;;;;;;;;;;;;;;
2016MM07;2016 juli;;Definitief;;;;;;;;;;;;;;;;;
2016MM08;2016 augustus;;Definitief;;;;;;;;;;;;;;;;;
2016MM09;2016 september;;Definitief;;;;;;;;;;;;;;;;;
2016MM10;2016 oktober;;Definitief;;;;;;;;;;;;;;;;;
2016MM11;2016 november;;Definitief;;;;;;;;;;;;;;;;;
2016MM12;2016 december;;Definitief;;;;;;;;;;;;;;;;;
2016JJ00;2016;;Definitief;;;;;;;;;;;;;;;;;
2017MM01;2017 januari;;Definitief;;;;;;;;;;;;;;;;;
2017MM02;2017 februari;;Definitief;;;;;;;;;;;;;;;;;
2017MM03;2017 maart;;Definitief;;;;;;;;;;;;;;;;;
2017MM04;2017 april;;Definitief;;;;;;;;;;;;;;;;;
2017MM05;2017 mei;;Definitief;;;;;;;;;;;;;;;;;
2017MM06;2017 juni;;Definitief;;;;;;;;;;;;;;;;;
2017MM07;2017 juli;;Definitief;;;;;;;;;;;;;;;;;
2017MM08;2017 augustus;;Definitief;;;;;;;;;;;;;;;;;
2017MM09;2017 september;;Definitief;;;;;;;;;;;;;;;;;
2017MM10;2017 oktober;;Definitief;;;;;;;;;;;;;;;;;
2017MM11;2017 november;;Definitief;;;;;;;;;;;;;;;;;
2017MM12;2017 december;;Definitief;;;;;;;;;;;;;;;;;
2017JJ00;2017;;Definitief;;;;;;;;;;;;;;;;;
2018MM01;2018 januari ;;Definitief;;;;;;;;;;;;;;;;;
2018MM02;2018 februari;;Definitief;;;;;;;;;;;;;;;;;
2018MM03;2018 maart;;Definitief;;;;;;;;;;;;;;;;;
2018MM04;2018 april;;Definitief;;;;;;;;;;;;;;;;;
2018MM05;2018 mei;;Definitief;;;;;;;;;;;;;;;;;
2018MM06;2018 juni;;Definitief;;;;;;;;;;;;;;;;;
2018MM07;2018 juli;;Definitief;;;;;;;;;;;;;;;;;
2018MM08;2018 augustus;;Definitief;;;;;;;;;;;;;;;;;
2018MM09;2018 september;;Definitief;;;;;;;;;;;;;;;;;
2018MM10;2018 oktober;;Definitief;;;;;;;;;;;;;;;;;
2018MM11;2018 november;;Definitief;;;;;;;;;;;;;;;;;
2018MM12;2018 december;;Definitief;;;;;;;;;;;;;;;;;
2018JJ00;2018;;Definitief;;;;;;;;;;;;;;;;;
2019MM01;2019 januari;;Definitief;;;;;;;;;;;;;;;;;
2019MM02;2019 februari;;Definitief;;;;;;;;;;;;;;;;;
2019MM03;2019 maart;;Definitief;;;;;;;;;;;;;;;;;
2019MM04;2019 april;;Definitief;;;;;;;;;;;;;;;;;
2019MM05;2019 mei;;Definitief;;;;;;;;;;;;;;;;;
2019MM06;2019 juni;;Definitief;;;;;;;;;;;;;;;;;
2019MM07;2019 juli;;Definitief;;;;;;;;;;;;;;;;;
2019MM08;2019 augustus;;Definitief;;;;;;;;;;;;;;;;;
2019MM09;2019 september;;Definitief;;;;;;;;;;;;;;;;;
2019MM10;2019 oktober;;Definitief;;;;;;;;;;;;;;;;;
2019MM11;2019 november;;Definitief;;;;;;;;;;;;;;;;;
2019MM12;2019 december;;Definitief;;;;;;;;;;;;;;;;;
2019JJ00;2019;;Definitief;;;;;;;;;;;;;;;;;
2020MM01;2020 januari;;Definitief;;;;;;;;;;;;;;;;;
2020MM02;2020 februari;;Definitief;;;;;;;;;;;;;;;;;
2020MM03;2020 maart;;Definitief;;;;;;;;;;;;;;;;;
2020MM04;2020 april;;Definitief;;;;;;;;;;;;;;;;;
2020MM05;2020 mei;;Definitief;;;;;;;;;;;;;;;;;
2020MM06;2020 juni;;Definitief;;;;;;;;;;;;;;;;;
2020MM07;2020 juli;;Definitief;;;;;;;;;;;;;;;;;
2020MM08;2020 augustus;;Definitief;;;;;;;;;;;;;;;;;
2020MM09;2020 september;;Definitief;;;;;;;;;;;;;;;;;
2020MM10;2020 oktober;;Definitief;;;;;;;;;;;;;;;;;
2020MM11;2020 november;;Definitief;;;;;;;;;;;;;;;;;
2020MM12;2020 december;;Definitief;;;;;;;;;;;;;;;;;
2020JJ00;2020;;Definitief;;;;;;;;;;;;;;;;;
2021MM01;2021 januari;;Definitief;;;;;;;;;;;;;;;;;
2021MM02;2021 februari;;Definitief;;;;;;;;;;;;;;;;;
2021MM03;2021 maart;;Definitief;;;;;;;;;;;;;;;;;
2021MM04;2021 april;;Definitief;;;;;;;;;;;;;;;;;
2021MM05;2021 mei;;Definitief;;;;;;;;;;;;;;;;;
2021MM06;2021 juni;;Definitief;;;;;;;;;;;;;;;;;
2021MM07;2021 juli;;Definitief;;;;;;;;;;;;;;;;;
2021MM08;2021 augustus;;Definitief;;;;;;;;;;;;;;;;;
2021MM09;2021 september;;Definitief;;;;;;;;;;;;;;;;;
2021MM10;2021 oktober;;Definitief;;;;;;;;;;;;;;;;;
2021MM11;2021  november;;Definitief;;;;;;;;;;;;;;;;;
2021MM12;2021 december;;Definitief;;;;;;;;;;;;;;;;;
2021JJ00;2021;;Definitief;;;;;;;;;;;;;;;;;
2022MM01;2022 januari;;Definitief;;;;;;;;;;;;;;;;;
2022MM02;2022 februari;;Definitief;;;;;;;;;;;;;;;;;
2022MM03;2022 maart;;Definitief;;;;;;;;;;;;;;;;;
2022MM04;2022 april;;Definitief;;;;;;;;;;;;;;;;;
2022MM05;2022 mei;;Definitief;;;;;;;;;;;;;;;;;
2022MM06;2022 juni;;Definitief;;;;;;;;;;;;;;;;;
2022MM07;2022 juli;;Definitief;;;;;;;;;;;;;;;;;
2022MM08;2022 augustus;;Definitief;;;;;;;;;;;;;;;;;
2022MM09;2022 september;;Definitief;;;;;;;;;;;;;;;;;
2022MM10;2022 oktober;;Definitief;;;;;;;;;;;;;;;;;
2022MM11;2022 november;;Definitief;;;;;;;;;;;;;;;;;
2022MM12;2022 december;;Definitief;;;;;;;;;;;;;;;;;
2022JJ00;2022;;Definitief;;;;;;;;;;;;;;;;;
2023MM01;2023 januari;;Definitief;;;;;;;;;;;;;;;;;
2023MM02;2023 februari;;Definitief;;;;;;;;;;;;;;;;;
2023MM03;2023 maart;;Definitief;;;;;;;;;;;;;;;;;
2023MM04;2023 april;;Definitief;;;;;;;;;;;;;;;;;
2023MM05;2023 mei;;Definitief;;;;;;;;;;;;;;;;;
2023MM06;2023 juni;;Definitief;;;;;;;;;;;;;;;;;
2023MM07;2023 juli;;Definitief;;;;;;;;;;;;;;;;;
2023MM08;2023 augustus;;Definitief;;;;;;;;;;;;;;;;;
2023MM09;2023 september;;Definitief;;;;;;;;;;;;;;;;;
2023MM10;2023 oktober;;Definitief;;;;;;;;;;;;;;;;;
2023MM11;2023 november;;Definitief;;;;;;;;;;;;;;;;;
2023MM12;2023 december;;Definitief;;;;;;;;;;;;;;;;;
2023JJ00;2023;;Definitief;;;;;;;;;;;;;;;;;
2024MM01;2024 januari;;Definitief;;;;;;;;;;;;;;;;;
2024MM02;2024 februari;;Definitief;;;;;;;;;;;;;;;;;
2024MM03;2024 maart;;Definitief;;;;;;;;;;;;;;;;;
2024MM04;2024 april;;Definitief;;;;;;;;;;;;;;;;;
2024MM05;2024 mei;;Definitief;;;;;;;;;;;;;;;;;
2024MM06;2024 juni;;Definitief;;;;;;;;;;;;;;;;;
2024MM07;2024 juli;;Definitief;;;;;;;;;;;;;;;;;
2024MM08;2024 augustus;;Definitief;;;;;;;;;;;;;;;;;
2024MM09;2024 september;;Definitief;;;;;;;;;;;;;;;;;
2024MM10;2024 oktober;;Definitief;;;;;;;;;;;;;;;;;
2024MM11;2024 november;;Definitief;;;;;;;;;;;;;;;;;
2024MM12;2024 december;;Definitief;;;;;;;;;;;;;;;;;
2024JJ00;2024;;Definitief;;;;;;;;;;;;;;;;;
2025MM01;2025 januari;;Definitief;;;;;;;;;;;;;;;;;
2025MM02;2025 februari;;Definitief;;;;;;;;;;;;;;;;;
2025MM03;2025 maart;;Definitief;;;;;;;;;;;;;;;;;
2025MM04;2025 april;;Definitief;;;;;;;;;;;;;;;;;
2025MM05;2025 mei;;Definitief;;;;;;;;;;;;;;;;;
2025MM06;2025 juni;;Definitief;;;;;;;;;;;;;;;;;
2025MM07;2025 juli;;Definitief;;;;;;;;;;;;;;;;;
2025MM08;2025 augustus;;Definitief;;;;;;;;;;;;;;;;;
2025MM09;2025 september;;Definitief;;;;;;;;;;;;;;;;;
2025MM10;2025 oktober;;Definitief;;;;;;;;;;;;;;;;;
2025MM11;2025 november;;Definitief;;;;;;;;;;;;;;;;;
